Major field of study,Location of Study,Total,Male,Female
"Mathematics, computer and information sciences",Total - Location of study,3327405,3022700,304700
"Architecture, engineering, and related technologies","No postsecondary certificate, diploma or degree",0,0,0
"Architecture, engineering, and related technologies","Postsecondary certificate, diploma or degree",3327400,3022700,304700
"Architecture, engineering, and related technologies",Location of study inside Canada,2739790,2539265,200520
"Architecture, engineering, and related technologies",Newfoundland and Labrador,69240,63455,5790
"Architecture, engineering, and related technologies",Prince Edward Island,10675,10175,500
"Architecture, engineering, and related technologies",Nova Scotia,92755,86720,6035
"Architecture, engineering, and related technologies",New Brunswick,72795,68815,3980
"Architecture, engineering, and related technologies",Quebec,758880,702740,56140
"Architecture, engineering, and related technologies",Ontario,912640,844510,68125
"Architecture, engineering, and related technologies",Manitoba,89810,83940,5870
"Architecture, engineering, and related technologies",Saskatchewan,86155,80705,5450
"Architecture, engineering, and related technologies",Alberta,358695,328755,29940
"Architecture, engineering, and related technologies",British Columbia,283290,264945,18345
"Architecture, engineering, and related technologies",Yukon,1765,1660,105
"Architecture, engineering, and related technologies",Northwest Territories,2110,1975,130
"Architecture, engineering, and related technologies",Nunavut,980,875,100
"Architecture, engineering, and related technologies",Location of study outside Canada,587615,483435,104180
"Agriculture, natural resources and conservation",Total - Location of study,339050,219045,120010
"Agriculture, natural resources and conservation","No postsecondary certificate, diploma or degree",0,0,0
"Agriculture, natural resources and conservation","Postsecondary certificate, diploma or degree",339055,219040,120010
"Agriculture, natural resources and conservation",Location of study inside Canada,285830,185615,100220
"Agriculture, natural resources and conservation",Newfoundland and Labrador,3430,2325,1105
"Agriculture, natural resources and conservation",Prince Edward Island,775,570,210
"Agriculture, natural resources and conservation",Nova Scotia,7400,3965,3435
"Agriculture, natural resources and conservation",New Brunswick,7115,5675,1440
"Agriculture, natural resources and conservation",Quebec,79785,53420,26365
"Agriculture, natural resources and conservation",Ontario,91310,57665,33645
"Agriculture, natural resources and conservation",Manitoba,12380,8705,3675
"Agriculture, natural resources and conservation",Saskatchewan,14105,10420,3685
"Agriculture, natural resources and conservation",Alberta,35555,21900,13655
"Agriculture, natural resources and conservation",British Columbia,33330,20500,12830
"Agriculture, natural resources and conservation",Yukon,210,145,65
"Agriculture, natural resources and conservation",Northwest Territories,325,235,90
"Agriculture, natural resources and conservation",Nunavut,110,85,20
"Agriculture, natural resources and conservation",Location of study outside Canada,53220,33430,19790
Health and related fields,Total - Location of study,2266720,441175,1825545
Health and related fields,"No postsecondary certificate, diploma or degree",0,0,0
Health and related fields,"Postsecondary certificate, diploma or degree",2266725,441180,1825545
Health and related fields,Location of study inside Canada,1924670,339335,1585330
Health and related fields,Newfoundland and Labrador,34380,5210,29170
Health and related fields,Prince Edward Island,9920,1435,8485
Health and related fields,Nova Scotia,69530,10900,58625
Health and related fields,New Brunswick,44705,5690,39015
Health and related fields,Quebec,455045,85580,369470
Health and related fields,Ontario,729480,133035,596440
Health and related fields,Manitoba,84370,13900,70470
Health and related fields,Saskatchewan,74610,11485,63125
Health and related fields,Alberta,204735,34690,170045
Health and related fields,British Columbia,215980,37075,178900
Health and related fields,Yukon,625,115,510
Health and related fields,Northwest Territories,920,155,765
Health and related fields,Nunavut,375,55,315
Health and related fields,Location of study outside Canada,342055,101840,240210
"Personal, protective and transportation services",Total - Location of study,995825,507200,488630
"Personal, protective and transportation services","No postsecondary certificate, diploma or degree",0,0,0
"Personal, protective and transportation services","Postsecondary certificate, diploma or degree",995825,507200,488630
"Personal, protective and transportation services",Location of study inside Canada,918255,463955,454300
"Personal, protective and transportation services",Newfoundland and Labrador,24070,15025,9045
"Personal, protective and transportation services",Prince Edward Island,7525,4925,2595
"Personal, protective and transportation services",Nova Scotia,30245,15380,14870
"Personal, protective and transportation services",New Brunswick,23225,11210,12010
"Personal, protective and transportation services",Quebec,274730,140920,133815
"Personal, protective and transportation services",Ontario,322260,165415,156850
"Personal, protective and transportation services",Manitoba,27675,12990,14690
"Personal, protective and transportation services",Saskatchewan,31115,14185,16925
"Personal, protective and transportation services",Alberta,77480,35995,41480
"Personal, protective and transportation services",British Columbia,97810,46540,51265
"Personal, protective and transportation services",Yukon,580,335,245
"Personal, protective and transportation services",Northwest Territories,985,710,280
"Personal, protective and transportation services",Nunavut,550,325,230
"Personal, protective and transportation services",Location of study outside Canada,77575,43245,34330
Other fields of study,Total - Location of study,3170,890,2280
Other fields of study,"No postsecondary certificate, diploma or degree",0,0,0
Other fields of study,"Postsecondary certificate, diploma or degree",3170,890,2280
Other fields of study,Location of study inside Canada,2970,800,2170
Other fields of study,Newfoundland and Labrador,0,0,0
Other fields of study,Prince Edward Island,0,0,0
Other fields of study,Nova Scotia,40,15,25
Other fields of study,New Brunswick,50,25,30
Other fields of study,Quebec,1035,365,670
Other fields of study,Ontario,1375,230,1145
Other fields of study,Manitoba,65,25,40
Other fields of study,Saskatchewan,40,25,15
Other fields of study,Alberta,75,20,55
Other fields of study,British Columbia,290,95,200
Other fields of study,Yukon,0,0,0
Other fields of study,Northwest Territories,0,0,0
Other fields of study,Nunavut,0,0,0
Other fields of study,Location of study outside Canada,200,95,110
